# Parameters
$ K = 5
$ N = 9
$ M = 9
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	E
1.4249999999999999e-01	8.5750000000000004e-01	1.4249999999999999e-01	-1.3129640795463118e+00	-1.0608073174942843e+00	-1.2468938150048177e+00	-1.7620923258267620e+00	-1.5184711204977916e+00	-9.6989550613489062e-01	-1.1831391239602560e+00	-1.5218768541853260e+00	-9.3490078173905722e-01	1.8103488053082721e+00
1.4499999999999999e-01	8.5499999999999998e-01	1.4499999999999999e-01	-1.3249465426097164e+00	-1.0774045638597856e+00	-1.2561573739811007e+00	-1.7691977462336268e+00	-1.5323340475923239e+00	-9.8546799829575971e-01	-1.2019282434476279e+00	-1.5359284810762222e+00	-9.4958762725436419e-01	1.8055980426801150e+00
1.4749999999999999e-01	8.5250000000000004e-01	1.4749999999999999e-01	-1.3367649583219114e+00	-1.0939812544182523e+00	-1.2653767165619743e+00	-1.7758996430336143e+00	-1.5459482834928324e+00	-1.0010650999778967e+00	-1.2205054052611037e+00	-1.5496852914129018e+00	-9.6428803714771438e-01	1.8008192028750558e+00
1.4999999999999999e-01	8.4999999999999998e-01	1.4999999999999999e-01	-1.3484049248861347e+00	-1.1105209475319899e+00	-1.2745425503628951e+00	-1.7821822150012852e+00	-1.5592923765782509e+00	-1.0166738863280571e+00	-1.2388449541867594e+00	-1.5631213454178097e+00	-9.7898747376746675e-01	1.7960109268796658e+00
1.5250000000000000e-01	8.4750000000000003e-01	1.5250000000000000e-01	-1.3598518925462368e+00	-1.1270066505657530e+00	-1.2836452297198162e+00	-1.7880299757980835e+00	-1.5723446644096151e+00	-1.0322808705255582e+00	-1.2569209229504350e+00	-1.5762105376257454e+00	-9.9367086136655025e-01	1.7911718696714130e+00
1.5500000000000000e-01	8.4499999999999997e-01	1.5500000000000000e-01	-1.3710912032561839e+00	-1.1434208508507364e+00	-1.2926747670633041e+00	-1.7934278205348664e+00	-1.5850833422662618e+00	-1.0478720184928190e+00	-1.2747071192329726e+00	-1.5889266948521259e+00	-1.0083226174144213e+00	1.7863007027619797e+00
1.5750000000000000e-01	8.4250000000000003e-01	1.5750000000000000e-01	-1.3821081328460398e+00	-1.1597455509941477e+00	-1.3016208467631178e+00	-1.7983610936954921e+00	-1.5974865361070181e+00	-1.0634327672253843e+00	-1.2921772184548608e+00	-1.6012436796272016e+00	-1.0229266883260630e+00	1.7813961168306103e+00
1.6000000000000000e-01	8.3999999999999997e-01	1.6000000000000000e-01	-1.3928879355348887e+00	-1.1759623085521713e+00	-1.3104728415245344e+00	-1.8028156579895434e+00	-1.6095323796679293e+00	-1.0789480468535073e+00	-1.3093048619027037e+00	-1.6131354985548616e+00	-1.0374665895790780e+00	1.7764568244411929e+00
1.6250000000000001e-01	8.3750000000000002e-01	1.6250000000000001e-01	-1.4034158906093679e+00	-1.1920522800427684e+00	-1.3192198313997008e+00	-1.8067779636638859e+00	-1.6211990953459798e+00	-1.0944023065195485e+00	-1.3260637596821854e+00	-1.6245764149637993e+00	-1.0519254501412276e+00	1.7714815628358196e+00
1.6500000000000001e-01	8.3499999999999996e-01	1.6500000000000001e-01	-1.4136773510543799e+00	-1.2079962692310375e+00	-1.3278506254566969e+00	-1.8102351177677647e+00	-1.6324650784563208e+00	-1.1097795441244638e+00	-1.3424277978952579e+00	-1.6355410651305671e+00	-1.0662860610797678e+00	1.7664690967965770e+00
1.6750000000000001e-01	8.3250000000000002e-01	1.6750000000000001e-01	-1.4236577938909913e+00	-1.2237747795732865e+00	-1.3363537861263870e+00	-1.8131749528354058e+00	-1.6433089843894921e+00	-1.1250633399625707e+00	-1.3583711493550541e+00	-1.6460045772699279e+00	-1.0805309281713285e+00	1.7614182215662797e+00
